,predicted,target
0,9.6868725,8.09000015258789
1,6.626253,6.809999942779541
2,10.671471,11.0
3,7.9399867,8.119999885559082
4,6.086048,6.010000228881836
5,8.263374,8.390000343322754
6,9.369906,11.0
7,8.260492,8.390000343322754
8,9.13284,9.270000457763672
9,10.760315,11.0
10,5.983406,6.010000228881836
11,5.843444,6.010000228881836
12,9.277603,9.484999656677246
13,6.797244,6.809999942779541
14,6.0098534,6.010000228881836
15,9.343076,9.484999656677246
16,10.542842,10.84000015258789
17,6.6703024,7.119999885559082
18,6.21092,6.010000228881836
19,9.119172,9.270000457763672
